id,error_text,label,reason,source_type,source_reference,split
D001,requests.exceptions.ConnectionError: Failed to establish a new connection: [Errno 61] Connection refused,NETWORK_API,The remote endpoint cannot be reached because the connection is refused; the primary failure is network/service communication.,PUBLIC_CASE,Requests documentation - Quickstart / Errors and Exceptions: https://requests.readthedocs.io/en/latest/user/quickstart/,demo
D002,"requests.exceptions.Timeout: HTTPConnectionPool(host='api.example.com', port=80): Read timed out.",NETWORK_API,"The request timed out while waiting for the remote service, which is a network/API communication failure.",PUBLIC_CASE,Requests documentation - Quickstart / Errors and Exceptions: https://requests.readthedocs.io/en/latest/user/quickstart/,demo
D003,HTTP 413 Payload Too Large: request body exceeds the server's maximum accepted size.,CONTEXT_LIMIT,"The request itself is larger than the server accepts; under this project taxonomy, request/input size overflow belongs to CONTEXT_LIMIT.",PUBLIC_CASE,MDN - 413 Content Too Large: https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/413,demo
D004,"Context length exceeded: this model supports at most 8192 tokens, but the request contains 9347 tokens.",CONTEXT_LIMIT,The tokenized request exceeds the model's context window.,SYNTHETIC,Derived from common LLM context-window limit error pattern.,demo
D005,ModuleNotFoundError: No module named 'langchain',ENV_DEPENDENCY,"Python cannot locate a required installed module, so the root cause is a missing dependency/environment setup.",PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,demo
D006,ERROR: Cannot install package_a and package_b because these package versions have conflicting dependencies.,ENV_DEPENDENCY,"The requested packages have incompatible dependency constraints, which is an environment/dependency resolution problem.",PUBLIC_CASE,pip documentation - Dependency Resolution: https://pip.pypa.io/en/stable/topics/dependency-resolution/,demo
D007,"TypeError: expected str, got NoneType",CODE_RUNTIME,The running code passed a value of the wrong type; this is a program runtime error rather than an environment or communication failure.,SYNTHETIC,Derived from Python TypeError semantics documented in Python built-in exceptions.,demo
D008,KeyError: 'messages',CODE_RUNTIME,The program attempted to access a missing mapping key during execution.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,demo
T001,AssertionError: tool call id must not be empty,CODE_RUNTIME,A runtime assertion in the program failed.,SYNTHETIC,Derived from Python AssertionError runtime pattern.,test
T002,json.decoder.JSONDecodeError: Expecting property name enclosed in double quotes at line 1 column 2,CODE_RUNTIME,The program attempted to parse malformed JSON data at runtime.,SYNTHETIC,Derived from Python JSON decoding runtime error pattern.,test
T003,HTTP 503 Service Unavailable: model endpoint is temporarily unable to handle the request,NETWORK_API,"The remote service is temporarily unavailable, which is an API/service availability failure.",PUBLIC_CASE,MDN - 503 Service Unavailable: https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/503,test
T004,"Prompt is too long: 9217 tokens supplied, maximum input length is 8192 tokens",CONTEXT_LIMIT,The prompt token count exceeds the model's maximum input length.,SYNTHETIC,Derived from common LLM input token limit pattern.,test
T005,TypeError: build_prompt() missing 1 required positional argument: 'sample',CODE_RUNTIME,The function was called with an invalid argument list during program execution.,SYNTHETIC,Derived from Python TypeError runtime pattern.,test
T006,This model's maximum context window is 32768 tokens; prompt plus requested output would require 34100 tokens,CONTEXT_LIMIT,The combined input and requested output exceed the available context window.,SYNTHETIC,Derived from common LLM context-window accounting pattern.,test
T007,"requests.exceptions.ReadTimeout: HTTPSConnectionPool(host='api.example.com', port=443): Read timed out.",NETWORK_API,The connection was established but the remote API did not return data within the read timeout.,SYNTHETIC,Derived from Requests timeout exception pattern.,test
T008,ValueError: invalid literal for int() with base 10: 'abc',CODE_RUNTIME,The code attempted an invalid runtime value conversion.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T009,IndexError: list index out of range,CODE_RUNTIME,The program accessed a sequence position outside its valid range.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T010,AttributeError: 'NoneType' object has no attribute 'content',CODE_RUNTIME,The program dereferenced an attribute on a None value during execution.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T011,HTTP 502 Bad Gateway: upstream model server returned an invalid response,NETWORK_API,"A gateway received an invalid response from the upstream service, so the failure is in remote service/API communication.",PUBLIC_CASE,MDN - 502 Bad Gateway: https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/502,test
T012,ConnectionError: server closed the streaming HTTP connection after 3 response chunks,NETWORK_API,An active streaming connection was unexpectedly closed by the server.,SYNTHETIC,Derived from streaming API connection failure pattern.,test
T013,Network is unreachable while sending request to https://model.example.com/v1/chat/completions,NETWORK_API,The operating system reports that the remote network cannot be reached.,SYNTHETIC,Derived from standard network-unreachable error pattern.,test
T014,"npm WARN EBADENGINE Unsupported engine: required: { node: '>=20' }, current: { node: '18.20.4' }",ENV_DEPENDENCY,The current Node.js version does not satisfy the package's declared engine requirement.,PUBLIC_CASE,npm documentation - package.json engines: https://docs.npmjs.com/cli/v11/configuring-npm/package-json#engines,test
T015,Too many tokens in request: 16512 > 16384,CONTEXT_LIMIT,The request contains more tokens than the allowed maximum.,SYNTHETIC,Derived from common LLM token-limit error pattern.,test
T016,AttributeError: 'AIMessage' object has no attribute 'tool_calls_extra',CODE_RUNTIME,The running code accesses an attribute that the object does not define.,SYNTHETIC,Derived from Python AttributeError runtime pattern.,test
T017,stream disconnected before completion: error sending request to http://127.0.0.1:10100/v1/responses,NETWORK_API,The response stream was disconnected before completion while communicating with the API endpoint.,REAL_LOG,User-provided development log: Codex/API stream disconnected error,test
T018,RecursionError: maximum recursion depth exceeded while calling a Python object,CODE_RUNTIME,Program control flow recursed beyond Python's runtime recursion limit.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T019,Request rejected: conversation history is too long for the model context window,CONTEXT_LIMIT,Accumulated conversation history exceeds the model's context capacity.,SYNTHETIC,Derived from multi-turn LLM context-window overflow pattern.,test
T020,ImportError: cannot import name 'create_agent' because the installed langchain version does not provide this symbol,ENV_DEPENDENCY,The message explicitly ties the missing import to an incompatible installed package version.,SYNTHETIC,Derived from Python ImportError semantics and package-version incompatibility patterns.,test
T021,HTTP 504 Gateway Timeout: upstream inference service did not respond in time,NETWORK_API,The gateway timed out waiting for the upstream inference service.,SYNTHETIC,Derived from standard HTTP 504 gateway timeout semantics.,test
T022,Input sequence length 5003 exceeds max_position_embeddings 4096,CONTEXT_LIMIT,The encoded input exceeds the model architecture's maximum supported sequence length.,SYNTHETIC,Derived from transformer maximum-position limit pattern.,test
T023,The prompt contains 205000 tokens but this endpoint accepts at most 200000 input tokens,CONTEXT_LIMIT,The prompt exceeds the endpoint's input-token ceiling.,SYNTHETIC,Derived from common API input-token limit pattern.,test
T024,socket.gaierror: [Errno -2] Name or service not known for api.example.com,NETWORK_API,DNS/name resolution failed before the API service could be reached.,SYNTHETIC,Derived from standard DNS resolution failure pattern.,test
T025,"requests.exceptions.ConnectionError: HTTPSConnectionPool(host='api.example.com', port=443): Max retries exceeded with url: /v1/chat (Caused by NewConnectionError: Failed to establish a new connection)",NETWORK_API,The client repeatedly failed to establish a connection to the remote API.,PUBLIC_CASE,Requests documentation - Quickstart / Errors and Exceptions: https://requests.readthedocs.io/en/latest/user/quickstart/,test
T026,npm ERR! ERESOLVE unable to resolve dependency tree: plugin-a requires react@^18 but the project installs react@19,ENV_DEPENDENCY,The Node.js dependency tree contains incompatible peer/version requirements.,SYNTHETIC,Derived from npm dependency-tree resolution failure pattern.,test
T027,"ValueError: not enough values to unpack (expected 3, got 2)",CODE_RUNTIME,The runtime value structure does not match what the code expects during unpacking.,SYNTHETIC,Derived from Python ValueError runtime pattern.,test
T028,ConnectionResetError: [Errno 54] Connection reset by peer while reading the model response,NETWORK_API,The peer reset an active network connection during the API response.,SYNTHETIC,Derived from standard socket/network connection reset pattern.,test
T029,upstream connect error or disconnect/reset before headers while invoking the agent model,NETWORK_API,The connection to the upstream model service failed before response headers were received.,SYNTHETIC,Derived from common service-mesh/upstream connection error pattern.,test
