scope,model,difficulty,ground_truth,total,success,invalid_output,api_failure,correct,accuracy
overall,ALL,ALL,ALL,72,72,0,0,69,0.958333
model,qwen3.7-plus,ALL,ALL,24,24,0,0,22,0.916667
model,glm-5,ALL,ALL,24,24,0,0,23,0.958333
model,deepseek-v4-pro,ALL,ALL,24,24,0,0,24,1.000000
difficulty,ALL,Medium,ALL,36,36,0,0,35,0.972222
difficulty,ALL,Hard,ALL,36,36,0,0,34,0.944444
class,ALL,ALL,CODE_RUNTIME,18,18,0,0,18,1.000000
class,ALL,ALL,CONTEXT_LIMIT,18,18,0,0,18,1.000000
class,ALL,ALL,ENV_DEPENDENCY,18,18,0,0,18,1.000000
class,ALL,ALL,NETWORK_API,18,18,0,0,15,0.833333
model_difficulty,qwen3.7-plus,Medium,ALL,12,12,0,0,12,1.000000
model_difficulty,qwen3.7-plus,Hard,ALL,12,12,0,0,10,0.833333
model_difficulty,glm-5,Medium,ALL,12,12,0,0,11,0.916667
model_difficulty,glm-5,Hard,ALL,12,12,0,0,12,1.000000
model_difficulty,deepseek-v4-pro,Medium,ALL,12,12,0,0,12,1.000000
model_difficulty,deepseek-v4-pro,Hard,ALL,12,12,0,0,12,1.000000
model_class,qwen3.7-plus,ALL,CODE_RUNTIME,6,6,0,0,6,1.000000
model_class,qwen3.7-plus,ALL,CONTEXT_LIMIT,6,6,0,0,6,1.000000
model_class,qwen3.7-plus,ALL,ENV_DEPENDENCY,6,6,0,0,6,1.000000
model_class,qwen3.7-plus,ALL,NETWORK_API,6,6,0,0,4,0.666667
model_class,glm-5,ALL,CODE_RUNTIME,6,6,0,0,6,1.000000
model_class,glm-5,ALL,CONTEXT_LIMIT,6,6,0,0,6,1.000000
model_class,glm-5,ALL,ENV_DEPENDENCY,6,6,0,0,6,1.000000
model_class,glm-5,ALL,NETWORK_API,6,6,0,0,5,0.833333
model_class,deepseek-v4-pro,ALL,CODE_RUNTIME,6,6,0,0,6,1.000000
model_class,deepseek-v4-pro,ALL,CONTEXT_LIMIT,6,6,0,0,6,1.000000
model_class,deepseek-v4-pro,ALL,ENV_DEPENDENCY,6,6,0,0,6,1.000000
model_class,deepseek-v4-pro,ALL,NETWORK_API,6,6,0,0,6,1.000000
