id,error_text,candidate_id,label,difficulty,difficulty_score,title,candidate_source_plan,source_file,split
P001,"model_alias=agent-model-x

model metadata:
max_sequence_length=32768

request A:
request_tokens=31910
max_new_tokens=512

provider response:
HTTP 400
body={""error"":""invalid conversation""}

wire message tail:
[
  {""role"":""assistant"",""tool_calls"":[{""id"":""call_7"",""name"":""search""}]},
  {""role"":""user"",""content"":""also check the cache""},
  {""role"":""tool"",""tool_call_id"":""call_7"",""content"":""...""},
  {""role"":""assistant"",""content"":""...""}
]

merge trace:
branch=tool_execution
emitted role=tool call_id=call_7

branch=user_interrupt
emitted role=user

parallel merge order:
assistant(tool_call) -> user -> tool(call_7)

control run:
parallel_merge=false

wire message tail:
assistant(tool_call) -> tool(call_7) -> user

same model_alias
same tool result
same user message
request_tokens=31912
max_new_tokens=512

provider response:
HTTP 200",R-H4,CODE_RUNTIME,Hard,9,Token 仍在上限内，但并行 state merge 打乱 Tool 消息顺序：CONTEXT_LIMIT 镜像,SYNTHETIC / ADAPTED_CASE,CODE_RUNTIME统一收紧最终候选版V4.md,pilot
P002,"application traceback:
json.decoder.JSONDecodeError:
Unterminated string starting at line 1 column 284

application buffer length:
284 bytes

gateway request record:
status=200
upstream_response_bytes=1264
downstream_response_bytes=284

same response parser unit test:
1264-byte fixture ... PASSED",N-H1,NETWORK_API,Hard,8,JSONDecodeError，但原始网关字节数表明响应被截断,SYNTHETIC / ADAPTED_CASE,NETWORK_API统一收紧最终候选版V4.md,pilot
P003,"callback:
async def on_message(...)

trace:
asyncio.current_task() -> <Task pending name='Task-18'>

call stack:
on_message()
  -> sync_generate()
  -> loop.run_until_complete(_generate_async())

application:
RuntimeError: provider helper failed",R-M5,CODE_RUNTIME,Medium,6,异步 callback 中再次启动同步 event loop,PUBLIC_CASE / ADAPTED_CASE,CODE_RUNTIME统一收紧最终候选版V4.md,pilot
P004,"session_id=s_82a1
model_alias=agent-model-x
proxy_route=corp-proxy-a

request A:

messages_json_bytes=1684000

tool artifact:
raw_bytes=6450000
embedding_mode=inline
transfer_encoding=base64

manifest_bytes=126000

edge config:
max_request_bytes=10485760

application:
RuntimeError: downstream model call failed

proxy:
CONNECT api.provider.example:443
status=200

request B:

same session_id=s_82a1
same model_alias=agent-model-x
same proxy_route=corp-proxy-a

tool artifact:
raw_bytes=6450000
embedding_mode=reference
artifact_reference=""file://artifact-7f2""

model response returned",C-H2,CONTEXT_LIMIT,Hard,,base64 inline 膨胀 + reference A/B,,CONTEXT_LIMIT统一收紧最终候选版V4.md,pilot
P005,"ToolExecutionError: web_model_call returned no result

proxy access log:
CONNECT api.provider.example:443
status=407
bytes_out=0

application log:
provider request id: <none>",N-M2,NETWORK_API,Medium,5,Tool wrapper 失败 + 代理原始响应,PUBLIC_CASE / ADAPTED_CASE,NETWORK_API统一收紧最终候选版V4.md,pilot
P006,"compaction job:
input_body_bytes=16567500
output_body_bytes=11219763
status=completed

gateway config:
client_max_body_size 10m

model call:
APIStatusError",C-M5,CONTEXT_LIMIT,Medium,6,Compaction 成功，但最终 body 仍超过 gateway 配置,SYNTHETIC / ADAPTED_CASE,CONTEXT_LIMIT统一收紧最终候选版V4.md,pilot
P007,"request A:

prompt fingerprint=pf_728a
prompt_tokens=31940

request parameters:
max_new_tokens=<unset>

profile chain:
task_profile=research-agent
generation_profile=balanced

balanced.yaml:
max_new_tokens: 1024

model metadata:
model_alias=agent-model-x
max_sequence_length=32768

route:
provider-primary

application:
RuntimeError: model invocation failed

request B:

prompt fingerprint=pf_728a
prompt_tokens=31940
model_alias=agent-model-x
route=provider-primary

request parameters:
max_new_tokens=256

response_id=resp_8fd...",C-H1,CONTEXT_LIMIT,Hard,,profile 继承 output budget + 同 route A/B,,CONTEXT_LIMIT统一收紧最终候选版V4.md,pilot
P008,"commit=91fa2c7
fixture_sha256=7c4e...

local:

Traceback:
AttributeError: 'AgentMessage' object has no attribute 'tool_calls'

object introspection:
type(message)=message_core.messages.AgentMessage

""tool_calls"" in dir(message) -> False
""metadata"" in dir(message) -> True

package snapshot:
message-core==1.7.4
agent-runtime==3.2.1
validation-lib==2.8.2

CI:

commit=91fa2c7
fixture_sha256=7c4e...

same test ... PASSED

object introspection:
type(message)=message_core.messages.AgentMessage

""tool_calls"" in dir(message) -> True
""metadata"" in dir(message) -> True

package snapshot:
message-core==2.1.0
agent-runtime==3.2.1
validation-lib==2.8.2",E-H1,ENV_DEPENDENCY,Hard,,中性对象 schema introspection + package A/B,,ENV_DEPENDENCY统一收紧最终候选版V3.md,pilot
P009,"proxy=socks5://127.0.0.1:7890

client startup:
RuntimeError: SOCKS transport backend could not be initialized

request_sent=false

$ pip freeze | grep -E 'httpx|socksio'
httpx==0.28.1",E-M4,ENV_DEPENDENCY,Medium,6,SOCKS 初始化失败，请求尚未发出,ADAPTED_CASE,ENV_DEPENDENCY统一收紧最终候选版V3.md,pilot
P010,"request fingerprint:
body_sha256=6d8c...
prompt_tokens=31200

agent profile:
response_reserve=1024

model metadata:
model_alias=qwen-x
config_hash=91c2...
max_sequence_length=32768

attempt A:
route=provider-primary
model_alias=qwen-x
config_hash=91c2...
14:10:01 request accepted by edge
14:10:31 inference_id=<none>
14:10:31 response_headers=0

retry policy selected provider-secondary without rebuilding the request.

attempt B:
route=provider-secondary
model_alias=qwen-x
config_hash=91c2...
body_sha256=6d8c...
prompt_tokens=31200
inference_id=inf_8af...
first_token_at=14:10:32.481",N-H2,NETWORK_API,Hard,,同一请求跨路由表现不同：CONTEXT_LIMIT 强干扰,,NETWORK_API统一收紧最终候选版V4.md,pilot
